Time,CPU%,Mem%,Disk Read (MB),Disk Write (MB)
2024-12-21 23:23:10,4.3,31.4,0.0,0.20703125
2024-12-21 23:23:20,16.5,32.2,0.0,0.1640625
2024-12-21 23:23:30,20.9,32.2,0.0,0.61328125
2024-12-21 23:23:40,33.3,34.5,0.3046875,12.921875
2024-12-21 23:23:50,30.4,36.4,0.10546875,204.28515625
2024-12-21 23:24:00,29.4,37.9,0.0,93.60546875
2024-12-21 23:24:10,20.5,42.3,79.80859375,9.90625
2024-12-21 23:24:20,19.1,40.7,71.5,38.00390625
2024-12-21 23:24:30,21.7,38.1,54.90625,7.609375
2024-12-21 23:24:40,20.4,41.6,0.0,263.7109375
2024-12-21 23:24:50,26.9,41.0,0.017578125,0.7578125
2024-12-21 23:25:00,23.8,38.9,0.0,0.79296875
2024-12-21 23:25:10,14.6,37.4,0.0,0.51171875
2024-12-21 23:25:20,17.0,42.4,0.0,132.046875
2024-12-21 23:25:30,26.3,39.3,0.0,131.8671875
2024-12-21 23:25:40,14.4,37.4,0.0,0.71875
2024-12-21 23:25:50,18.1,41.8,0.0,131.98828125
2024-12-21 23:26:00,25.3,39.4,0.0,131.9375
2024-12-21 23:26:10,16.3,37.5,0.0,131.74609375
2024-12-21 23:26:20,17.7,42.0,0.0,0.671875
2024-12-21 23:26:30,24.4,39.8,0.0,131.875
2024-12-21 23:26:40,17.7,37.9,0.0,0.33203125
2024-12-21 23:26:50,19.1,42.7,0.0,132.09765625
2024-12-21 23:27:00,21.6,40.2,0.0,131.9609375
2024-12-21 23:27:10,19.3,49.6,0.0,317.171875
2024-12-21 23:27:20,20.6,49.8,0.0,1631.60546875
2024-12-21 23:27:30,35.8,47.3,0.0,0.203125
2024-12-21 23:27:40,43.5,50.3,0.0,0.14453125
2024-12-21 23:27:50,54.2,52.5,0.0,0.2421875
2024-12-21 23:28:00,59.1,54.1,0.0,0.41796875
2024-12-21 23:28:10,35.2,55.6,0.0,0.23828125
2024-12-21 23:28:20,16.8,56.6,0.0,0.234375
2024-12-21 23:28:30,22.6,56.9,0.0,0.34765625
2024-12-21 23:28:40,65.6,58.7,0.0,0.2578125
2024-12-21 23:28:50,20.0,54.1,0.0,0.25
2024-12-21 23:29:00,12.9,37.2,0.0,1.50390625
2024-12-21 23:29:10,24.2,35.8,0.0,126.80078125
2024-12-21 23:29:20,12.2,37.4,0.0,0.671875
2024-12-21 23:29:30,17.5,41.5,0.01171875,5.29296875
2024-12-21 23:29:40,23.4,41.4,4.0859375,38.29296875
2024-12-21 23:29:50,21.6,39.1,89.3671875,0.47265625
2024-12-21 23:30:00,19.8,39.0,125.16015625,263.72265625
2024-12-21 23:30:10,20.2,42.4,44.3671875,0.87109375
2024-12-21 23:30:20,25.6,40.7,0.0,0.2890625
2024-12-21 23:30:30,18.6,38.9,0.0,131.73046875
2024-12-21 23:30:40,16.7,38.5,0.0,0.31640625
2024-12-21 23:30:50,17.6,43.5,0.0,131.9453125
2024-12-21 23:31:00,21.1,42.1,0.0546875,132.07421875
2024-12-21 23:31:10,25.5,40.2,0.0,0.35546875
2024-12-21 23:31:20,17.0,38.2,0.0,131.734375
2024-12-21 23:31:30,23.4,42.4,0.0,132.40234375
2024-12-21 23:31:40,18.1,42.5,0.0,131.83984375
2024-12-21 23:31:50,22.3,38.5,0.0,131.80859375
2024-12-21 23:32:00,19.1,42.0,0.0,120.3671875
2024-12-21 23:32:10,16.5,38.1,0.0,12.0234375
2024-12-21 23:32:20,25.0,50.0,0.0,316.859375
2024-12-21 23:32:30,23.8,50.9,0.0,1631.7578125
2024-12-21 23:32:40,29.3,47.8,0.0,0.12109375
2024-12-21 23:32:50,18.0,51.3,0.0,0.02734375
2024-12-21 23:33:00,23.3,52.9,0.0,0.2265625
2024-12-21 23:33:10,80.8,55.0,0.0,0.21484375
2024-12-21 23:33:20,31.3,56.4,0.0,0.08203125
2024-12-21 23:33:30,21.2,51.7,0.0,0.30078125
2024-12-21 23:33:40,58.8,51.6,0.0,0.1953125
2024-12-21 23:33:50,23.6,52.1,0.0,0.15625
2024-12-21 23:34:00,7.1,35.5,0.0,42.60546875
2024-12-21 23:34:10,25.1,37.3,0.0,44.30078125
2024-12-21 23:34:20,22.7,38.9,0.0,0.2265625
2024-12-21 23:34:30,19.7,43.5,0.0,79.44140625
2024-12-21 23:34:40,22.9,42.0,0.0,6.0078125
2024-12-21 23:34:50,18.9,39.6,0.375,0.58203125
2024-12-21 23:35:00,19.0,43.1,124.84765625,0.37890625
2024-12-21 23:35:10,22.8,41.6,45.921875,132.2421875
2024-12-21 23:35:20,21.9,39.6,80.91015625,131.82421875
2024-12-21 23:35:30,18.9,44.1,7.796875,0.58203125
2024-12-21 23:35:40,19.3,41.9,0.0,132.11328125
2024-12-21 23:35:50,19.9,39.4,0.0,131.921875
2024-12-21 23:36:00,19.5,44.3,0.0,63.94921875
2024-12-21 23:36:10,20.9,41.4,0.0,68.703125
2024-12-21 23:36:20,23.0,39.7,0.0,131.890625
2024-12-21 23:36:30,19.6,43.2,0.0,0.6171875
2024-12-21 23:36:40,17.9,41.8,0.0,132.23046875
2024-12-21 23:36:50,17.8,39.1,0.0,131.84375
2024-12-21 23:37:00,19.3,43.7,0.0,131.74609375
2024-12-21 23:37:10,23.0,41.8,0.0,0.6015625
2024-12-21 23:37:20,18.4,38.7,0.0,131.66015625
2024-12-21 23:37:30,18.0,38.6,0.0,0.46484375
2024-12-21 23:37:40,15.5,49.4,0.0,317.0390625
2024-12-21 23:37:50,23.1,50.2,0.0,1630.50390625
2024-12-21 23:38:00,24.7,47.2,0.0,0.37890625
2024-12-21 23:38:10,49.3,51.5,0.0,0.17578125
2024-12-21 23:38:20,18.8,53.2,0.0,0.859375
2024-12-21 23:38:30,21.2,54.2,0.0,0.12109375
2024-12-21 23:38:40,67.7,55.6,0.0,0.34375
2024-12-21 23:38:50,18.8,57.2,0.0,0.15625
2024-12-21 23:39:00,41.0,57.7,0.0,0.078125
2024-12-21 23:39:10,25.8,53.8,0.0,0.36328125
2024-12-21 23:39:20,13.1,37.8,0.0,0.2890625
